County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Tom Green,38104,0.351405937,71.84547554,23.92662188,0.56686962,3.661032962,41.7,0.445,28.95,20.3,27.5,0.85,11.65,10.8,0.08,57,0.366,0.283,0.099,615.3,0.254,299.84,57.3,0.244415216,-0.479321858,0.592033349,2.91786E-05,2.91786E-05,3.28153E-05,0.000121838,-0.599352874
Travis,462511,0.464595641,27.40475362,66.26328887,1.604286168,4.727671342,46.6,0.487,43.45,15.9,23.85,0.1,10.05,6.7,0.08,47.4,0.332,0.237,0.065,593.4,0.224,413.2,50.5,-0.380867306,0.281555758,0.9699737,6.58601E-05,6.58601E-05,0.000115796,0.000527178,0.259649782
Trinity,5982,0.418467996,79.18756269,19.29120695,0.183884988,1.337345369,49.5,0.432,22.2,26.85,21.05,4.25,10.4,15.2,0.09,60.2,0.323,0.315,0.131,170.5,0.276,311.38,108,-0.534970802,-1.291705868,0.791656872,-4.4727E-05,4.4727E-05,0.00012816,0.000390958,-0.048499103
Tyler,7969,0.378520876,82.83347973,15.59794203,0.27606977,1.29250847,24.9,0.443,29.85,18.1,17.25,2,14.55,18.1,0.08,70.6,0.408,0.298,0.115,189.2,0.245,394.18,98.7,-0.134388824,-0.961037913,0.671901698,-2.95766E-06,2.95766E-06,7.89252E-05,0.000264903,-0.52298017
Upshur,15918,0.413755459,82.91242618,14.9390627,0.370649579,1.77786154,33.3,0.43,26.3,15.8,24.65,1.15,16.35,15.8,0.08,56.5,0.277,0.31,0.13,226,0.249,274.7,88.4,0.147969983,-0.576836076,0.814211582,0.000107345,0.000107345,0.000128994,0.001473171,0.295205686
Upton,1296,0.405,74.15123457,21.91358025,0.231481481,3.703703704,9.8,0.42,27.55,20.65,19.9,3.6,10.3,18.05,0.09,65.7,0.339,0.298,0.104,239.1,0.292,50.45,,-0.307021705,-0.824457936,0.720226586,3.28763E-05,3.28763E-05,8.13657E-05,0.000518454,-0.305608865
Uvalde,8936,0.337029494,54.02864816,43.22963295,0.604297225,2.137421665,52.3,0.491,25.2,18.4,25.7,4.35,12.15,14.1,0.08,82.9,0.355,0.295,0.103,719.8,0.282,285.3,59.4,-0.856296339,-1.454629401,0.936944071,2.75599E-05,2.75599E-05,0.000207188,0.000469691,0.231934697
Val Verde,13476,0.279550263,43.45503117,51.35054912,0.972098546,4.222321164,26.9,0.435,25.75,25.45,22.15,0.9,12.15,13.6,0.07,81.6,0.341,0.277,0.098,344.2,0.292,191.52,41.6,-0.574808125,-1.078035499,1.252491811,0.000167525,0.000167525,0.000220847,0.000852762,1.369568611
Van Zandt,21689,0.415291234,85.00161372,12.87288487,0.355018673,1.770482733,36.5,0.428,27.3,17,24.75,1.35,15.65,13.95,0.07,50.8,0.294,0.325,0.125,199,0.272,208.85,100.1,0.987310079,-0.556873184,0.563050159,2.58647E-05,2.58647E-05,2.82271E-05,0.00015818,-0.663722676
Victoria,31032,0.358755593,68.48736788,28.49639082,0.496261923,2.519979376,43.9,0.447,29.45,16.3,25.2,0.35,13.5,15.15,0.08,78.3,0.429,0.298,0.111,556.3,0.241,571.28,64.1,-0.186289697,-0.731808266,0.677004856,4.7009E-05,4.7009E-05,5.60305E-05,0.000326384,-0.348086762
